name,model,price
Mercedes`Benz GLC`Class Mild Hybrid,GLC300 AMG Line 4MATIC Premium Plus (A),"¥277,000 "
Mitsubishi Eclipse Cross,1.5T Style (A),POA
Mitsubishi Eclipse Cross,1.5T Style Panoramic Roof (A),POA
BMW 4 Series Coupe,420i M Sport (A),"$272,888$24,200 /yr"
BMW 4 Series Coupe,430i M Sport Pro (A),"$336,888$29,500 /yr"
Nissan NV200 Petrol,1.6 Panel Van (A),"¥57,000 "
Nissan NV200 Petrol,1.6 Panel Van (M),"$61,000$5,300 /yr"
Volkswagen ID.3 Electric,1st Edition Pro Performance (A),"¥166,000 "
Volkswagen ID.3 Electric,Life Pro Performance (A),"¥170,000 "
Honda Odyssey Hybrid Speedo Motoring Edition,2.0 e`HEV Absolute 8`Seater (A),"¥196,988 "
Honda Odyssey Hybrid Speedo Motoring Edition,2.0 e`HEV Absolute 7`Seater (A),"¥199,988 "
Hyundai i30 Wagon,1.0 DCT Turbo (A),"$118,999$11,100 /yr"
Toyota Sienta,1.5 G 7`Seater [2015] (A),POA
Toyota Sienta,1.5 X 7`Seater (A),"¥104,000 "
Toyota Sienta,1.5 G 7`Seater Toyota Safety Sense (A),"¥106,000 "
Toyota Sienta,1.5 G 7`Seater (A),"¥107,800 "
Toyota Sienta,1.5 G LED 7`Seater Toyota Safety Sense (A),"¥108,000 "
Toyota Sienta,1.5 X Keyless 7`Seater (A),"¥108,000 "
Toyota Sienta,1.5 G Welcab Type 1 (A),"¥139,000 "
Maserati Ghibli Mild Hybrid,2.0 (A),"$318,800(w/o COE)"
Volkswagen Touran,1.4 TSI DSG Highline (A),"$179,900$16,500 /yr"
Volkswagen Touran,1.4 TSI DSG R`Line (A),"$189,900$17,200 /yr"
Volkswagen Touran,1.4 TSI DSG R`Line Sunroof (A),"$195,400$17,700 /yr"
Land Rover Range Rover Evoque Mild Hybrid,1.5 R`Dynamic SE (A),"¥265,999 "
Land Rover Range Rover Evoque Mild Hybrid,2.0 Si4 R Dynamic SE [200PS] (A),"$289,999$26,400 /yr"
Daihatsu Copen GR Sport,660 (A),"¥126,000 "
Toyota Harrier Hybrid,2.5 S (A),"¥190,000 "
Toyota Harrier Hybrid,2.5 G (A),"¥198,000 "
Toyota Alphard Hybrid,2.5 X 7`Seater (A),"¥230,000 "
Toyota Alphard Hybrid,2.5 X 8`Seater (A),"¥232,000 "
Toyota Alphard Hybrid,2.5 S 7`Seater (A),"¥238,000 "
Toyota Alphard Hybrid,2.5 SR C`Package 7`Seater (A),"¥276,000 "
Kia Niro Electric,Short Range 39.2 kWh (A),"¥169,999 "
Kia Niro Electric,Long Range 64 kWh (A),"¥179,999 "
Honda Freed,1.5 B Honda Sensing 6`Seater (A),"¥119,000 "
Honda Freed,1.5 G 7`Seater  (A),"¥121,000 "
Honda Freed,1.5 G Honda Sensing 7`Seater  (A),"¥123,000 "
Honda Freed,1.5 G Honda Sensing Dual Power Doors  7`Seater (A),"¥125,000 "
Honda Freed,1.5 G Honda Sensing Dual Power Doors 7`Seater (A),"¥125,000 "
Honda Vezel Hybrid,1.5 X [2018] (A),"¥152,000 "
Honda Vezel Hybrid,1.5 X Honda Sensing [2018] (A),"¥158,000 "
BMW 4 Series Convertible,420i Convertible M Sport (A),"$291,888$25,600 /yr"
BMW 4 Series Convertible,430i Convertible M Sport Pro (A),"$345,888$30,200 /yr"
Honda Civic Type`R,2.0 VTEC Turbo GT (M),"¥236,000 "
Honda Civic Type`R,2.0 VTEC Turbo GT (M),"¥242,000 "
Toyota Sienta Venture Cars Edition,1.5 X 7`Seater (A),"¥97,088 "
Toyota Sienta Venture Cars Edition,1.5 G 7`Seater Toyota Safety Sense (A),"¥104,488 "
Suzuki Every Petrol,660 (A),"¥64,000 "
Suzuki Every Petrol,Turbo 660 (A),"¥65,000 "
Toyota Highlander Hybrid,2.5 Excel Premium 7`Seater (A),"¥299,000 "
Jaguar XE,2.0 SE [250PS] (A),"$252,999$23,500 /yr"
Jaguar XE,2.0 R`Dynamic SE [250PS] (A),"$263,999$24,300 /yr"
Volkswagen Sharan,2.0 TSI DSG (A),"$210,400$19,100 /yr"
Toyota Corolla Hatchback Hybrid,1.8 Ascent Sport (A),"¥146,000 "
Toyota Corolla Hatchback Hybrid,1.8 Sport G (A),"¥170,000 "
Volvo XC90,T6 R`Design 7`Seater (A),"$375,000$33,000 /yr"
Toyota GR Supra,3.0 (A),"$237,888(w/o COE)"
Lamborghini Urus,4.0 V8 (A),"$798,000(w/o COE)"
Toyota Vellfire,2.5 X 8`Seater (A),"¥212,000 "
Toyota Vellfire,2.5 Z 7`Seater (A),"¥219,000 "
Toyota Vellfire,2.5 X Welcab (A),"¥244,000 "
Toyota Vellfire,2.5 Z G`Edition 7`Seater (A),"¥254,000 "
Mercedes`Benz GLC`Class,GLC43 AMG 4MATIC Premium Plus (A),"¥373,000 "
Mercedes`Benz GLC`Class,GLC63 S AMG 4MATIC+ Premium Plus (A),"¥496,000 "
Audi A6 Sedan Plug`in Hybrid,2.0 50 TFSI e qu S tronic (A),"¥235,000 "
Porsche 911,Carrera PDK 3.0 (A),"¥506,000 "
Porsche 911,Carrera 4 PDK 3.0 (A),"¥531,000 "
Porsche 911,Carrera S 3.0 (M),"¥563,000 "
Porsche 911,Carrera S PDK 3.0 (A),"¥566,000 "
Porsche 911,Carrera 4S PDK 3.0 (A),"¥597,000 "
Porsche 911,Carrera GTS PDK 3.0 (A),"¥693,000 "
Porsche 911,Turbo PDK 3.8 (A),"¥801,000 "
Porsche 911,Turbo S PDK 3.8 (A),"¥923,000 "
Mazda MX`5 RF,2.0 (A),"$211,888$18,900 /yr"
Toyota Corolla Axio Hybrid,1.5 (A),"¥110,000 "
Mercedes`Benz G`Class,G63 AMG (A),"¥705,000 "
Mercedes`Benz G`Class,G63 AMG Manufaktur Edition (A),"¥788,900 "
Volvo S90,T5 Momentum (A),POA
Audi S3 Sportback,2.0 TFSI qu S tronic (A),"¥280,650 "
Honda CR`V Hybrid,e:HEV EX 2.0 (A),"¥191,000 "
Mercedes`Benz GLB`Class CarVault Edition,GLB200 Sport 7`Seater (A),"¥114,999 "
Mercedes`Benz GLB`Class CarVault Edition,GLB200 AMG Line 7`Seater (A),"¥122,999 "
Mercedes`Benz GLB`Class CarVault Edition,GLB200 AMG Line Premium Plus 7`Seater (A),"¥150,999 "
Lexus RX 300,2.0 Executive (A),"¥319,800 "
Lexus RX 300,2.0 Luxury (A),"¥346,800 "
Mercedes`Benz S`Class Mild Hybrid 2021,S450L 4MATIC (A),"¥492,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500 4MATIC (A),"¥494,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500L AMG Line 4MATIC Premium (A),"¥530,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500L AMG Line 4MATIC Premium Executive (A),"¥540,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500L AMG Line 4MATIC Premium Plus (A),"¥560,000 "
Mercedes`Benz S`Class Mild Hybrid 2021,S500L AMG Line 4MATIC Premium Plus Executive (A),"¥570,000 "
Renault Kadjar,1.3T TCe  (A),"$159,999$15,000 /yr"
Renault Kadjar,1.3T TCe Bold Edition (A),"$162,999$15,300 /yr"
Renault Kadjar,1.3T TCe Bose Edition (A),"$172,999$16,100 /yr"
